"","treeNumber","blocks","geo_char","geo_num","pair","rep","origin","stand thinned","storm damage","height","diameter","tree_volume","wind_damage_severity","root_damage_severity"
"39",39,1,"G",5,2,3,"Nat","","",6.1,48,0.009,1,1
"40",40,1,"G",5,2,4,"Nat","X","",NA,NA,NA,NA,NA
"41",41,1,"P",6,1,1,"Nat","","",8.5,92,0.044,1,1
"42",42,1,"P",6,1,2,"Nat","X","",NA,NA,NA,NA,NA
"43",43,1,"P",6,1,3,"Nat","X","",NA,NA,NA,NA,NA
"44",44,1,"P",6,1,4,"Nat","X","",NA,NA,NA,NA,NA
"45",45,1,"P",6,2,1,"Nat","","Slightly bent tree",7.9,69,0.023,2,1
"46",46,1,"P",6,2,2,"Nat","X","",NA,NA,NA,NA,NA
"47",47,1,"P",6,2,3,"Nat","","",8.8,83,0.037,1,1
"48",48,1,"P",6,2,4,"Nat","X","",NA,NA,NA,NA,NA
"49",49,1,"C",7,1,1,"Intro","X","",NA,NA,NA,NA,NA
"50",50,1,"C",7,1,2,"Intro","","",8.5,79,0.033,1,1
"51",51,1,"C",7,1,3,"Intro","X","",NA,NA,NA,NA,NA
"52",52,1,"C",7,1,4,"Intro","","",10.3,103,NA,1,1
"53",53,1,"V",7,2,1,"Intro","X","",NA,NA,NA,NA,NA
"54",54,1,"V",7,2,2,"Intro","","",7.9,72,0.025,1,1
"55",55,1,"V",7,2,3,"Intro","","",8.5,53,0.015,1,1
"56",56,1,"V",7,2,4,"Intro","X","",NA,NA,NA,NA,NA
"57",57,1,"A",8,1,1,"Nat","","",7.6,57,0.015,1,1
"58",58,1,"A",8,1,2,"Nat","X","",NA,NA,NA,NA,NA
"59",59,1,"A",8,1,3,"Nat","","",8.2,64,0.021,1,1
"60",60,1,"A",8,1,4,"Nat","X","",NA,NA,NA,NA,NA
"61",61,1,"A",8,2,1,"Nat","","",6.7,34,0.005,1,1
"62",62,1,"A",8,2,2,"Nat","X","",0,0,NA,1,1
"63",63,1,"A",8,2,3,"Nat","","",6.4,43,0.007,1,1
"64",64,1,"A",8,2,4,"Nat","X","",NA,NA,NA,NA,NA
"65",65,1,"S",9,1,1,"Nat","X","",NA,NA,NA,NA,NA
"66",66,1,"S",9,1,2,"Nat","","",11.9,99,0.071,1,1
"67",67,1,"S",9,1,3,"Nat","X","",NA,NA,NA,NA,NA
"68",68,1,"S",9,1,4,"Nat","","slightly bent",9.5,76,0.034,2,1
"69",69,1,"V",9,2,1,"Nat","X","",NA,NA,NA,NA,NA
"70",70,1,"V",9,2,2,"Nat","","",9.8,86,0.045,NA,NA
"71",71,1,"V",9,2,3,"Nat","","",NA,NA,NA,NA,NA
"72",72,1,"V",9,2,4,"Nat","","",7.6,78,0.028,1,1
"73",73,1,"C",10,1,1,"Intro","","",8.8,76,0.031,1,1
"74",74,1,"C",10,1,2,"Intro","","",7.6,62,0.018,1,1
"75",75,1,"C",10,1,3,"Intro","","",NA,NA,NA,NA,NA
"76",76,1,"C",10,1,4,"Intro","X","",NA,NA,NA,NA,NA
"77",77,1,"C",10,2,1,"Intro","X","",NA,NA,NA,NA,NA
"78",78,1,"C",10,2,2,"Intro","","",8.8,92,0.046,1,1
"79",79,1,"C",10,2,3,"Intro","X","",NA,NA,NA,NA,NA
"80",80,1,"C",10,2,4,"Intro","","",10.4,102,0.067,1,1
"81",81,2,"S",9,1,1,"Nat","","Slightly bent tree",9.1,88,0.043,2,1
"82",82,2,"S",9,1,2,"Nat","X","",NA,NA,NA,NA,NA
"83",83,2,"S",9,1,3,"Nat","","",10.3,112,0.079,1,1
"84",84,2,"S",9,1,4,"Nat","X","",NA,NA,NA,NA,NA
"85",85,2,"V",9,2,1,"Nat","","",6.4,75,0.022,1,1
"86",86,2,"V",9,2,2,"Nat","X","",NA,NA,NA,NA,NA
"87",87,2,"V",9,2,3,"Nat","","Moderately bent",7.9,51,0.013,3,1
"88",88,2,"V",9,2,4,"Nat","","",NA,NA,NA,NA,NA
"89",89,2,"C",10,1,1,"Intro","X","",NA,NA,NA,NA,NA
"90",90,2,"C",10,1,2,"Intro","","",9.8,98,0.058,1,1
"91",91,2,"C",10,1,3,"Intro","X","",NA,NA,NA,NA,NA
"92",92,2,"C",10,1,4,"Intro","","",9.4,80,0.037,1,1
"93",93,2,"C",10,2,1,"Intro","X","",NA,NA,NA,NA,NA
"94",94,2,"C",10,2,2,"Intro","","",7,75,0.024,1,1
"95",95,2,"C",10,2,3,"Intro","X","",NA,NA,NA,NA,NA
"96",96,2,"C",10,2,4,"Intro","","",10,91,0.051,1,1
"97",97,2,"I",3,1,1,"Intro","","",7.9,80,0.032,1,1
"98",98,2,"I",3,1,2,"Intro","X","",NA,NA,NA,NA,NA
"99",99,2,"I",3,1,3,"Intro","","",7.9,91,0.04,1,1
"100",100,2,"I",3,1,4,"Intro","X","",NA,NA,NA,NA,NA
"101",101,2,"I",3,2,1,"Intro","","",9.1,87,0.042,1,1
"102",102,2,"I",3,2,2,"Intro","X","",NA,NA,NA,NA,NA
"103",103,2,"I",3,2,3,"Intro","","",7.3,82,0.03,1,1
"104",104,2,"I",3,2,4,"Intro","X","",NA,NA,NA,NA,NA
"105",105,2,"T",4,1,1,"Intro","","",NA,NA,NA,NA,NA
"106",106,2,"T",4,1,2,"Intro","X","",NA,NA,NA,NA,NA
"107",107,2,"T",4,1,3,"Intro","X","",NA,NA,NA,NA,NA
"108",108,2,"T",4,1,4,"Intro","","",8.5,89,0.041,1,1
"109",109,2,"T",4,2,1,"Intro","","",8.2,84,0.035,1,1
"110",110,2,"T",4,2,2,"Intro","","",NA,NA,NA,NA,NA
"111",111,2,"T",4,2,3,"Intro","X","",NA,NA,NA,NA,NA
"112",112,2,"T",4,2,4,"Intro","","",NA,NA,NA,NA,NA
"113",113,2,"P",6,1,1,"Nat","X","",NA,NA,NA,NA,NA
"114",114,2,"P",6,1,2,"Nat","X","",NA,NA,NA,NA,NA
"115",115,2,"P",6,1,3,"Nat","","",9.8,114,0.125,1,1
"116",116,2,"P",6,1,4,"Nat","X","",NA,NA,NA,NA,NA
"117",117,2,"P",6,2,1,"Nat","X","",NA,NA,NA,NA,NA
"118",118,2,"P",6,2,2,"Nat","","",8.2,77,0.03,1,1
"119",119,2,"P",6,2,3,"Nat","X","",NA,NA,NA,NA,NA
"120",120,2,"P",6,2,4,"Nat","","",7.3,67,0.02,1,1
"121",121,2,"K",2,1,1,"Intro","","Slightly bent tree",8.5,59,0.018,2,1
"122",122,2,"K",2,1,2,"Intro","X","",NA,NA,NA,NA,NA
"123",123,2,"K",2,1,3,"Intro","","",10,82,0.041,NA,1
"124",124,2,"K",2,1,4,"Intro","X","",NA,NA,NA,NA,NA
"125",125,2,"K",2,2,1,"Intro","","slightly bent",9.7,84,0.042,2,1
"126",126,2,"K",2,2,2,"Intro","X","",NA,NA,NA,NA,NA
"127",127,2,"K",2,2,3,"Intro","X","",NA,NA,NA,NA,NA
"128",128,2,"K",2,2,4,"Intro","","",8.2,71,0.025,1,1
"129",129,2,"C",7,1,1,"Intro","","",8.8,87,0.041,1,1
"130",130,2,"C",7,1,2,"Intro","","",NA,NA,NA,NA,NA
"131",131,2,"C",7,1,3,"Intro","X","",NA,NA,NA,NA,NA
"132",132,2,"C",7,1,4,"Intro","","",9.8,81,0.04,1,NA
"133",133,2,"V",7,2,1,"Intro","X","",NA,NA,NA,NA,NA
"134",134,2,"V",7,2,2,"Intro","","",7.9,93,0.042,1,NA
"135",135,2,"V",7,2,3,"Intro","","slightly exposed roots",10.7,95,0.059,1,2
"136",136,2,"V",7,2,4,"Intro","X","",NA,NA,NA,NA,NA
"137",137,2,"M",1,1,1,"Nat","","",NA,NA,NA,NA,NA
"138",138,2,"M",1,1,2,"Nat","","slightly bent",10.7,100,0.066,2,1
"139",139,2,"M",1,1,3,"Nat","X","",NA,NA,NA,NA,NA
"140",140,2,"M",1,1,4,"Nat","","",10.7,95,0.059,1,1
"141",141,2,"M",1,2,1,"Nat","","Slightly bent tree",10.7,94,0.058,2,1
"142",142,2,"M",1,2,2,"Nat","X","",NA,NA,NA,NA,NA
"143",143,2,"M",1,2,3,"Nat","X","",NA,NA,NA,NA,NA
"144",144,2,"M",1,2,4,"Nat","","",9.4,93,0.05,NA,NA
"145",145,2,"A",8,1,1,"Nat","X","",NA,NA,NA,NA,NA
"146",146,2,"A",8,1,2,"Nat","","",7.6,69,0.022,NA,NA
"147",147,2,"A",8,1,3,"Nat","X","",NA,NA,NA,NA,NA
"148",148,2,"A",8,1,4,"Nat","","",8.2,79,0.032,NA,NA
"149",149,2,"A",8,2,1,"Nat","","",4.8,38,0.004,NA,NA
"150",150,2,"A",8,2,2,"Nat","X","",NA,NA,NA,NA,NA
"151",151,2,"A",8,2,3,"Nat","X","",NA,NA,NA,NA,NA
"152",152,2,"A",8,2,4,"Nat","","",7.9,53,0.014,NA,NA
"153",153,2,"G",5,1,1,"Nat","X","",NA,NA,NA,NA,NA
"154",154,2,"G",5,1,2,"Nat","","moderatly bent tree",5.4,41,0.006,3,1
"155",155,2,"G",5,1,3,"Nat","X","",NA,NA,NA,NA,NA
"156",156,2,"G",5,1,4,"Nat","","modertly bent tree",7,61,0.016,3,1
"157",157,2,"G",5,2,1,"Nat","X","",NA,NA,NA,NA,NA
"158",158,2,"G",5,2,2,"Nat","","slightly bent tree",5.4,53,0.009,2,1
"159",159,2,"G",5,2,3,"Nat","X","",NA,NA,NA,NA,NA
"160",160,2,"G",5,2,4,"Nat","","moderatly bent tree",7.7,88,0.037,3,1
"161",161,3,"M",1,1,1,"Nat","","slightly ben tree",9.1,94,0.049,2,1
"162",162,3,"M",1,1,2,"Nat","x","",NA,NA,NA,NA,NA
"163",163,3,"M",1,1,3,"Nat","","slightly bent tree",9.8,101,0.062,2,1
"164",164,3,"M",1,1,4,"Nat","x","",NA,NA,NA,NA,NA
"165",165,3,"M",1,2,1,"Nat","x","",NA,NA,NA,NA,NA
"166",166,3,"M",1,2,2,"Nat","","",9.8,80,0.039,NA,NA
"167",167,3,"M",1,2,3,"Nat","x","",NA,NA,NA,NA,NA
"168",168,3,"M",1,2,4,"Nat","","",11.6,111,0.088,NA,NA
"169",169,3,"S",2,1,1,"Nat","","",11,112,0.085,NA,NA
"170",170,3,"S",2,1,2,"Nat","x","",NA,NA,NA,NA,NA
"171",171,3,"S",2,1,3,"Nat","","",11.3,111,0.086,NA,NA
"172",172,3,"S",2,1,4,"Nat","x","",NA,NA,NA,NA,NA
"173",173,3,"V",2,2,1,"Nat","x","",NA,NA,NA,NA,NA
"174",174,3,"V",2,2,2,"Nat","","",10.1,91,0.051,NA,NA
"175",175,3,"V",2,2,3,"Nat","","",10.1,99,0.061,NA,NA
"176",176,3,"V",2,2,4,"Nat","x","",NA,NA,NA,NA,NA
"177",177,3,"G",3,1,1,"Nat","","moderately bent tree",7.6,66,0.02,3,1
"178",178,3,"G",3,1,2,"Nat","","",NA,NA,NA,NA,NA
"179",179,3,"G",3,1,3,"Nat","","",6.7,59,0.014,NA,NA
"180",180,3,"G",3,1,4,"Nat","x","moderately bent",0,0,NA,3,1
"181",181,3,"G",3,2,1,"Nat","","",NA,NA,NA,NA,NA
"182",182,3,"G",3,2,2,"Nat","","moderatly bent tree",6.4,60,0.014,3,1
"183",183,3,"G",3,2,3,"Nat","X","",NA,NA,NA,NA,NA
"184",184,3,"G",3,2,4,"Nat","x","",NA,NA,NA,NA,NA
"185",185,3,"A",4,1,1,"Nat","x","",NA,NA,NA,NA,NA
"186",186,3,"A",4,1,2,"Nat","","moderatly bent tree",8.2,80,0.032,3,1
"187",187,3,"A",4,1,3,"Nat","x","",NA,NA,NA,NA,NA
"188",188,3,"A",4,1,4,"Nat","","",7.9,91,0.04,NA,NA
"189",189,3,"A",4,2,1,"Nat","","",NA,NA,NA,NA,NA
"190",190,3,"A",4,2,2,"Nat","","",NA,NA,NA,NA,NA
"191",191,3,"A",4,2,3,"Nat","","",NA,NA,NA,NA,NA
"192",192,3,"A",4,2,4,"Nat","","",7.6,46,0.01,NA,NA
"193",193,3,"I",5,1,1,"Intro","x","",NA,NA,NA,NA,NA
"194",194,3,"I",5,1,2,"Intro","x","",NA,NA,NA,NA,NA
"195",195,3,"I",5,1,3,"Intro","","",8.2,107,0.058,NA,NA
"196",196,3,"I",5,1,4,"Intro","x","",NA,NA,NA,NA,NA
"197",197,3,"I",5,2,1,"Intro","x","",NA,NA,NA,NA,NA
"198",198,3,"I",5,2,2,"Intro","","severely bent tree",6.7,67,0.018,4,1
"199",199,3,"I",5,2,3,"Intro","","severely bent tree",9.1,71,0.028,4,1
"200",200,3,"I",5,2,4,"Intro","x","",NA,NA,NA,NA,NA
"201",201,3,"C",6,1,1,"Intro","x","",NA,NA,NA,NA,NA
"202",202,3,"C",6,1,2,"Intro","","",9.1,86,0.041,NA,NA
"203",203,3,"C",6,1,3,"Intro","x","",NA,NA,NA,NA,NA
"204",204,3,"C",6,1,4,"Intro","","severe bent sev root",9.8,89,0.048,4,4
"205",205,3,"C",6,2,1,"Intro","x","",NA,NA,NA,NA,NA
"206",206,3,"C",6,2,2,"Intro","x","",NA,NA,NA,NA,NA
"207",207,3,"C",6,2,3,"Intro","","mod root",7.3,82,0.03,0,3
"208",208,3,"C",6,2,4,"Intro","x","",NA,NA,NA,NA,NA
"209",209,3,"K",7,1,1,"Intro","","",10.7,78,0.04,NA,NA
"210",210,3,"K",7,1,2,"Intro","x","",NA,NA,NA,NA,NA
"211",211,3,"K",7,1,3,"Intro","","",NA,NA,NA,NA,NA
"212",212,3,"K",7,1,4,"Intro","x","",NA,NA,NA,NA,NA
"213",213,3,"K",7,2,1,"Intro","","",8.5,74,0.029,NA,NA
"214",214,3,"K",7,2,2,"Intro","","slightly bent tree",8.8,80,0.035,2,1
"215",215,3,"K",7,2,3,"Intro","","",NA,NA,NA,NA,NA
"216",216,3,"K",7,2,4,"Intro","","",NA,NA,NA,NA,NA
"217",217,3,"C",8,1,1,"Intro","x","",NA,NA,NA,NA,NA
"218",218,3,"C",8,1,2,"Intro","","Slightly bent tree",7.8,79,0.03,2,1
"219",219,3,"C",8,1,3,"Intro","x","",NA,NA,NA,NA,NA
"220",220,3,"C",8,1,4,"Intro","","Slightly bent tree",8.2,85,0.036,2,1
"221",221,3,"V",8,2,1,"Intro","","moderatly bent tree",8.2,100,0.051,3,1
"222",222,3,"V",8,2,2,"Intro","x","",NA,NA,NA,NA,NA
"223",223,3,"V",8,2,3,"Intro","X","",NA,NA,NA,NA,NA
"224",224,3,"V",8,2,4,"Intro","x","",NA,NA,NA,NA,NA
"225",225,3,"T",9,1,1,"Intro","x","",NA,NA,NA,NA,NA
"226",226,3,"T",9,1,2,"Intro","","moderatly bent tree",9.8,105,0.066,3,1
"227",227,3,"T",9,1,3,"Intro","","",NA,NA,NA,NA,NA
"228",228,3,"T",9,1,4,"Intro","","slight bent mod root",8.2,78,0.031,2,2
"229",229,3,"T",9,2,1,"Intro","x","",NA,NA,NA,NA,NA
"230",230,3,"T",9,2,2,"Intro","","",10.4,82,0.043,NA,NA
"231",231,3,"T",9,2,3,"Intro","x","",NA,NA,NA,NA,NA
"232",232,3,"T",9,2,4,"Intro","","",NA,NA,NA,NA,NA
"233",233,3,"P",10,1,1,"Nat","","slight bent",11.3,102,0.072,2,0
"234",234,3,"P",10,1,2,"Nat","x","",NA,NA,NA,NA,NA
"235",235,3,"P",10,1,3,"Nat","","",NA,NA,NA,NA,NA
"236",236,3,"P",10,1,4,"Nat","X","",NA,NA,NA,NA,NA
"237",237,3,"P",10,2,1,"Nat","","",9.5,93,0.051,NA,NA
"238",238,3,"P",10,2,2,"Nat","x","",NA,NA,NA,NA,NA
"239",239,3,"P",10,2,3,"Nat","","moderatly bent tree",7.9,74,0.027,3,1
"240",240,3,"P",10,2,4,"Nat","x","",NA,NA,NA,NA,NA
