,treeNumber,blocks,geo_char,geo_num,pair,rep,origin,typhoon,stem_axis,stem_staightness,tree_volume,internodes_lower,internodes_middle,internodes_top,branch_length,branch_density,branch_max2,branch_thickness,branch_angle,branch_habit,branchlet_habit,branchlet_length,cones,flowers,root_damage,stem_damage,branch_damage
33,44,1,P,6,1,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,45,1,P,6,2,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,46,1,P,6,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,47,1,P,6,2,3,Nat,,5,3,NA,8,7,4,1,2,35,2,2,3,2,2,2,2,5,1,1
37,53,1,V,7,2,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38,54,1,V,7,2,2,Intro,X,6,4,0.057,7.5,8.5,10,2,2,11,2,2,2,2,1,1,1,1,1,3
39,62,1,A,8,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
40,63,1,A,8,2,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
41,64,1,A,8,2,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
42,65,1,S,9,1,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
43,66,1,S,9,1,2,Nat,X,3,4,0.126,11,11.5,15,1,2,27,2,2,3,2,1,2,2,1,1,1
44,71,1,V,9,2,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
45,72,1,V,9,2,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
46,73,1,C,10,1,1,Intro,X,6,4,0.07,8,6.5,9,1,1,30,3,1,3,2,1,2,2,5,1,1
47,81,2,S,9,1,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
48,82,2,S,9,1,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
49,83,2,S,9,1,3,Nat,,6,3,0.16,4,7,6,1,2,19,4,2,3,2,2,1,1,5,1,1
50,86,2,V,9,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
51,87,2,V,9,2,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
52,88,2,V,9,2,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
53,89,2,C,10,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
54,90,2,C,10,1,2,Intro,X,6,3,0.114,7.5,2,10,1,2,30,2,1,3,2,1,2,2,5,1,1
55,97,2,I,3,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
56,98,2,I,3,1,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
57,99,2,I,3,1,3,Intro,,6,4,NA,7,3,8.5,1,2,39,1,2,3,1,2,1,2,5,1,1
58,109,2,T,4,2,1,Intro,X,4,2,0.085,4,6,7,1,2,23,4,2,3,2,2,1,2,1,5,2
59,116,2,P,6,1,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
60,117,2,P,6,2,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
61,118,2,P,6,2,2,Nat,,6,3,0.057,6.5,6,4,2,1,1,4,2,3,1,1,2,2,5,1,3
62,124,2,K,2,1,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
63,125,2,K,2,2,1,Intro,X,3,2,0.091,2.5,2,6.5,1,1,24,4,2,4,1,2,1,1,5,1,4
64,126,2,K,2,2,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
65,127,2,K,2,2,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
66,128,2,K,2,2,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
67,129,2,C,7,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
68,130,2,C,7,1,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
69,131,2,C,7,1,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
70,132,2,C,7,1,4,Intro,X,6,4,0.074,4.5,8,11.5,1,1,35,4,2,3,2,2,1,2,5,1,1
71,139,2,M,1,1,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
72,140,2,M,1,1,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
73,141,2,M,1,2,1,Nat,X,6,4,0.11,3.5,4.5,6,1,1,20,4,1,3,1,2,2,2,1,1,1
74,147,2,A,8,1,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
75,148,2,A,8,1,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
76,149,2,A,8,2,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
77,150,2,A,8,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
78,151,2,A,8,2,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
79,152,2,A,8,2,4,Nat,X,6,4,0.027,10,10,7,1,1,23,4,2,3,2,1,2,2,1,1,1
80,157,2,G,5,2,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
81,158,2,G,5,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
82,159,2,G,5,2,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
83,160,2,G,5,2,4,Nat,X,6,2,0.06,5,8,7,1,2,23,2,1,3,2,1,2,1,1,1,1
84,161,3,M,1,1,1,Nat,X,4,3,0.136,3.5,4.5,1.5,1,1,31,1,1,4,2,2,2,2,1,1,3
85,169,3,S,2,1,1,Nat,X,6,4,0.109,4,10,3.5,1,1,20,4,3,2,2,1,1,1,1,1,n/s
86,178,3,G,3,1,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
87,179,3,G,3,1,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
88,180,3,G,3,1,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
89,181,3,G,3,2,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
90,182,3,G,3,2,2,Nat,X,5,4,0.031,6,4,7,1,1,21,4,2,3,2,2,1,1,1,1,n/s
91,187,3,A,4,1,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
92,188,3,A,4,1,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
93,189,3,A,4,2,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
94,190,3,A,4,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
95,191,3,A,4,2,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
96,192,3,A,4,2,4,Nat,,3,3,0.029,4,7,13,1,1,2,2,1,3,2,1,1,2,1,1,1
97,199,3,I,5,2,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
98,200,3,I,5,2,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
99,201,3,C,6,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
100,202,3,C,6,1,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
101,203,3,C,6,1,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
102,204,3,C,6,1,4,Intro,X,4,1,0.036,3.5,6.5,4,1,1,30,3,1,3,2,1,2,2,1,1,3
103,208,3,C,6,2,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
104,209,3,K,7,1,1,Intro,X,6,4,0.084,5.5,8.5,7,1,1,22,4,2,4,2,2,2,2,1,1,3
105,215,3,K,7,2,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106,216,3,K,7,2,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107,217,3,C,8,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
108,218,3,C,8,1,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
109,219,3,C,8,1,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
110,220,3,C,8,1,4,Intro,X,3,3,0.078,7,11,5,1,1,2,1,2,3,1,1,1,1,1,1,1
111,222,3,V,8,2,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
112,223,3,V,8,2,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
113,224,3,V,8,2,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
114,225,3,T,9,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
115,226,3,T,9,1,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
116,227,3,T,9,1,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
117,228,3,T,9,1,4,Intro,X,3,3,0.063,6.5,12,6,1,2,32,1,2,3,2,2,1,1,1,1,3
118,231,3,T,9,2,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
119,232,3,T,9,2,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
120,233,3,P,10,1,1,Nat,,5,3,0.132,4,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
